time,velocity 
156.6,81.2808
156.8,81.2982
157,81.3155
157.2,81.3328
157.4,81.3501
157.6,81.3673
157.8,81.3845
158,81.4016
158.2,81.4187
158.4,81.4357
158.6,81.4528
158.8,81.4697
159,81.4867
159.2,81.5036
159.4,81.5205
159.6,81.5373
159.8,81.5541
160,81.5708
160.2,81.5875
160.4,81.6042
160.6,81.6209
160.8,81.6375
161,81.654
161.2,81.6706
161.4,81.6871
161.6,81.7035
161.8,81.7199
162,81.7363
162.2,81.7526
162.4,81.7689
162.6,81.7852
162.8,81.8015
163,81.8176
163.2,81.8338
163.4,81.8499
163.6,81.866
163.8,81.8821
164,81.8981
164.2,81.9141
164.4,81.93
164.6,81.9459
164.8,81.9618
165,81.9776
165.2,81.9934
165.4,82.0092
165.6,82.0249
165.8,82.0406
166,82.0563
166.2,82.0719
166.4,82.0875
166.6,82.103
166.8,82.1185
167,82.134
167.2,82.1495
167.4,82.1649
167.6,82.1803
167.8,82.1956
168,82.2109
168.2,82.2262
168.4,82.2414
168.6,82.2566
168.8,82.2718
169,82.2869
169.2,82.302
169.4,82.3171
169.6,82.3322
169.8,82.3472
170,82.3621
170.2,82.3771
170.4,82.392
170.6,82.4068
170.8,82.4217
171,82.4365
171.2,82.4512
171.4,82.466
171.6,82.4807
171.8,82.4953
172,82.51
172.2,82.5246
172.4,82.5391
172.6,82.5537
172.8,82.5682
173,82.5826
173.2,82.5971
173.4,82.6115
173.6,82.6259
173.8,82.6402
174,82.6545
174.2,82.6688
174.4,82.683
174.6,82.6972
174.8,82.7114
175,82.7256
175.2,82.7397
175.4,82.7538
175.6,82.7678
175.8,82.7819
176,82.7958
176.2,82.8098
176.4,82.8237
176.6,82.8376
176.8,82.8515
177,82.8653
177.2,82.8791
177.4,82.8929
177.6,82.9066
177.8,82.9203
178,82.934
178.2,82.9477
178.4,82.9613
178.6,82.9749
178.8,82.9884
179,83.002
179.2,83.0155
179.4,83.0289
179.6,83.0423
179.8,83.0558
180,83.0691
180.2,83.0825
180.4,83.0958
180.6,83.1091
180.8,83.1223
181,83.1355
181.2,83.1487
181.4,83.1619
181.6,83.175
181.8,83.1881
182,83.2012
182.2,83.2143
182.4,83.2273
182.6,83.2403
182.8,83.2532
183,83.2662
183.2,83.2791
183.4,83.2919
183.6,83.3048
183.8,83.3176
184,83.3304
184.2,83.3431
184.4,83.3559
184.6,83.3686
184.8,83.3812
185,83.3939
185.2,83.4065
185.4,83.4191
185.6,83.4316
185.8,83.4441
186,83.4566
186.2,83.4691
186.4,83.4816
186.6,83.494
186.8,83.5064
187,83.5187
187.2,83.5311
187.4,83.5434
187.6,83.5556
187.8,83.5679
188,83.5801
188.2,83.5923
188.4,83.6045
188.6,83.6166
188.8,83.6287
189,83.6408
189.2,83.6529
189.4,83.6649
189.6,83.6769
189.8,83.6889
190,83.7008
190.2,83.7127
190.4,83.7246
190.6,83.7365
190.8,83.7484
191,83.7602
191.2,83.772
191.4,83.7837
191.6,83.7955
191.8,83.8072
192,83.8188
192.2,83.8305
192.4,83.8421
192.6,83.8537
192.8,83.8653
193,83.8769
193.2,83.8884
193.4,83.8999
193.6,83.9114
193.8,83.9228
194,83.9342
194.2,83.9456
194.4,83.957
194.6,83.9684
194.8,83.9797
195,83.991
195.2,84.0022
195.4,84.0135
195.6,84.0247
195.8,84.0359
196,84.0471
196.2,84.0582
196.4,84.0693
196.6,84.0804
196.8,84.0915
197,84.1025
197.2,84.1136
197.4,84.1246
197.6,84.1355
197.8,84.1465
198,84.1574
198.2,84.1683
198.4,84.1791
198.6,84.19
198.8,84.2008
199,84.2116
199.2,84.2224
199.4,84.2331
199.6,84.2439
199.8,84.2546
200,84.2652
200.2,84.2759
200.4,84.2865
200.6,84.2971
200.8,84.3077
201,84.3183
201.2,84.3288
201.4,84.3393
201.6,84.3498
201.8,84.3603
202,84.3707
202.2,84.3811
202.4,84.3915
202.6,84.4019
202.8,84.4122
203,84.4225
203.2,84.4328
203.4,84.4431
203.6,84.4534
203.8,84.4636
204,84.4738
204.2,84.484
204.4,84.4941
204.6,84.5043
204.8,84.5144
205,84.5245
205.2,84.5346
205.4,84.5446
205.6,84.5546
205.8,84.5646
206,84.5746
206.2,84.5846
206.4,84.5945
206.6,84.6044
206.8,84.6143
207,84.6242
207.2,84.634
207.4,84.6438
207.6,84.6536
207.8,84.6634
208,84.6732
208.2,84.6829
208.4,84.6926
208.6,84.7023
208.8,84.712
209,84.7216
209.2,84.7313
209.4,84.7409
209.6,84.7504
209.8,84.76
210,84.7695
210.2,84.7791
210.4,84.7886
210.6,84.798
210.8,84.8075
211,84.8169
211.2,84.8263
211.4,84.8357
211.6,84.8451
211.8,84.8544
212,84.8638
212.2,84.8731
212.4,84.8824
212.6,84.8916
212.8,84.9009
213,84.9101
213.2,84.9193
213.4,84.9285
213.6,84.9376
213.8,84.9468
214,84.9559
214.2,84.965
214.4,84.9741
214.6,84.9831
214.8,84.9922
215,85.0012
215.2,85.0102
215.4,85.0191
215.6,85.0281
215.8,85.037
216,85.046
216.2,85.0549
216.4,85.0637
216.6,85.0726
216.8,85.0814
217,85.0902
217.2,85.099
217.4,85.1078
217.6,85.1166
217.8,85.1253
218,85.134
218.2,85.1427
218.4,85.1514
218.6,85.1601
218.8,85.1687
219,85.1773
219.2,85.1859
219.4,85.1945
219.6,85.2031
219.8,85.2116
220,85.2201
220.2,85.2286
220.4,85.2371
220.6,85.2456
220.8,85.254
221,85.2625
221.2,85.2709
221.4,85.2793
221.6,85.2876
221.8,85.296
222,85.3043
222.2,85.3126
222.4,85.3209
222.6,85.3292
222.8,85.3375
223,85.3457
223.2,85.3539
223.4,85.3621
223.6,85.3703
223.8,85.3785
224,85.3866
224.2,85.3948
224.4,85.4029
224.6,85.411
224.8,85.419
225,85.4271
225.2,85.4351
225.4,85.4431
225.6,85.4511
225.8,85.4591
226,85.4671
226.2,85.475
226.4,85.483
226.6,85.4909
226.8,85.4988
227,85.5067
227.2,85.5145
227.4,85.5224
227.6,85.5302
227.8,85.538
228,85.5458
228.2,85.5536
228.4,85.5613
228.6,85.569
228.8,85.5768
229,85.5845
229.2,85.5922
229.4,85.5998
229.6,85.6075
229.8,85.6151
230,85.6227
230.2,85.6303
230.4,85.6379
230.6,85.6455
230.8,85.653
231,85.6605
231.2,85.6681
231.4,85.6755
231.6,85.683
231.8,85.6905
232,85.6979
232.2,85.7054
232.4,85.7128
232.6,85.7202
232.8,85.7276
233,85.7349
233.2,85.7423
233.4,85.7496
233.6,85.7569
233.8,85.7642
234,85.7715
234.2,85.7787
234.4,85.786
234.6,85.7932
234.8,85.8004
235,85.8076
235.2,85.8148
235.4,85.822
235.6,85.8291
235.8,85.8363
236,85.8434
236.2,85.8505
236.4,85.8576
236.6,85.8646
236.8,85.8717
237,85.8787
237.2,85.8858
237.4,85.8928
237.6,85.8998
237.8,85.9067
238,85.9137
238.2,85.9206
238.4,85.9276
238.6,85.9345
238.8,85.9414
239,85.9483
239.2,85.9551
239.4,85.962
239.6,85.9688
239.8,85.9756
240,85.9824
240.2,85.9892
240.4,85.996
240.6,86.0028
240.8,86.0095
241,86.0162
241.2,86.0229
241.4,86.0296
241.6,86.0363
241.8,86.043
242,86.0496
242.2,86.0563
242.4,86.0629
242.6,86.0695
242.8,86.0761
243,86.0827
243.2,86.0892
243.4,86.0958
243.6,86.1023
243.8,86.1088
244,86.1154
244.2,86.1218
244.4,86.1283
244.6,86.1348
244.8,86.1412
245,86.1477
245.2,86.1541
245.4,86.1605
245.6,86.1669
245.8,86.1732
246,86.1796
246.2,86.1859
246.4,86.1923
246.6,86.1986
246.8,86.2049
247,86.2112
247.2,86.2175
247.4,86.2237
247.6,86.23
247.8,86.2362
248,86.2424
248.2,86.2486
248.4,86.2548
248.6,86.261
248.8,86.2671
249,86.2733
249.2,86.2794
249.4,86.2856
249.6,86.2917
249.8,86.2978
250,86.3038
250.2,86.3099
250.4,86.316
250.6,86.322
250.8,86.328
251,86.334
251.2,86.34
251.4,86.346
251.6,86.352
251.8,86.3579
252,86.3639
252.2,86.3698
252.4,86.3757
252.6,86.3816
252.8,86.3875
253,86.3934
253.2,86.3993
253.4,86.4051
253.6,86.411
253.8,86.4168
254,86.4226
