time,velocity 
297.6,9.27663
297.8,9.28067
298,9.2847
298.2,9.28873
298.4,9.29276
298.6,9.29679
298.8,9.30082
299,9.30485
299.2,9.30888
299.4,9.3129
299.6,9.31692
299.8,9.32094
300,9.32496
300.2,9.32898
300.4,9.333
300.6,9.33701
300.8,9.34103
301,9.34504
301.2,9.34905
301.4,9.35306
301.6,9.35706
301.8,9.36107
302,9.36507
302.2,9.36908
302.4,9.37308
302.6,9.37708
302.8,9.38108
303,9.38507
303.2,9.38907
303.4,9.39306
303.6,9.39705
303.8,9.40104
304,9.40503
304.2,9.40902
304.4,9.41301
304.6,9.41699
304.8,9.42098
305,9.42496
305.2,9.42894
305.4,9.43292
305.6,9.43689
305.8,9.44087
306,9.44484
306.2,9.44882
306.4,9.45279
306.6,9.45676
306.8,9.46073
307,9.46469
307.2,9.46866
307.4,9.47262
307.6,9.47659
307.8,9.48055
308,9.48451
308.2,9.48846
308.4,9.49242
308.6,9.49637
308.8,9.50033
309,9.50428
309.2,9.50823
309.4,9.51218
309.6,9.51613
309.8,9.52007
310,9.52402
310.2,9.52796
310.4,9.5319
310.6,9.53584
310.8,9.53978
311,9.54372
311.2,9.54765
311.4,9.55159
311.6,9.55552
311.8,9.55945
312,9.56338
312.2,9.56731
312.4,9.57124
312.6,9.57516
312.8,9.57908
313,9.58301
313.2,9.58693
313.4,9.59085
313.6,9.59476
313.8,9.59868
314,9.6026
314.2,9.60651
314.4,9.61042
314.6,9.61433
314.8,9.61824
315,9.62215
315.2,9.62605
315.4,9.62996
315.6,9.63386
315.8,9.63776
316,9.64166
316.2,9.64556
316.4,9.64946
316.6,9.65336
316.8,9.65725
317,9.66114
317.2,9.66503
317.4,9.66892
317.6,9.67281
317.8,9.6767
318,9.68058
318.2,9.68447
318.4,9.68835
318.6,9.69223
318.8,9.69611
319,9.69999
319.2,9.70387
319.4,9.70774
319.6,9.71162
319.8,9.71549
320,9.71936
320.2,9.72323
320.4,9.7271
320.6,9.73096
320.8,9.73483
321,9.73869
321.2,9.74255
321.4,9.74642
321.6,9.75027
